YEAR,ANN_AVG_TEMP,ANN_AVG_PREC
1750,19.35998209,993.8453944
1751,19.29493471,956.9286635
1752,19.43915911,961.8642074
1753,18.97944496,958.3705925
1754,18.96550609,995.5072161
1755,18.93649497,989.8825271
1756,18.88177473,1018.985072
1757,19.53756192,1010.904054
1758,19.40973524,1008.843976
1759,19.36435228,979.1958873
1760,19.42763176,1035.968652
1761,18.92111401,976.086056
1762,19.59182705,1035.396534
1763,19.50589688,1010.058217
1764,19.34748964,1005.027033
1765,19.71495649,1003.697365
1766,19.50989793,974.4348744
1767,19.06268487,976.6713236
1768,19.61016771,996.9896593
1769,18.93973369,957.6074628
1770,19.43233262,985.7843095
1771,19.72524845,953.0458539
1772,19.63694314,1037.375648
1773,19.57318267,1041.531604
1774,19.45452455,1032.789944
1775,19.06804384,983.2121462
1776,19.65646716,1003.442425
1777,19.89475671,1026.639341
1778,19.5813121,1013.301299
1779,19.20978235,983.176041
1780,19.4676981,995.7503837
1781,19.57033811,962.3693033
1782,19.46028579,1009.376331
1783,19.47168754,982.2114446
1784,19.09789837,962.3966824
1785,19.16322056,997.9726899
1786,19.1764881,976.4838384
1787,20.04717347,1021.856966
1788,19.87240051,1029.219178
1789,19.78269561,1044.32424
1790,19.3800505,999.0116272
1791,19.78534962,1031.824821
1792,19.69179828,961.6777188
1793,19.89692384,951.2123238
1794,19.85452001,973.0457753
1795,20.10610435,960.9884851
1796,19.37808537,1048.499532
1797,19.67421469,1049.42917
1798,20.19692267,982.4396447
1799,19.67469404,984.1934492
1800,19.7624228,1035.054832
1801,19.69905367,981.2922154
1802,19.72763235,961.1637698
1803,20.01524511,969.6483709
1804,19.57022766,965.3045617
1805,19.65577336,962.6821995
1806,19.8251394,972.9219775
1807,20.23870785,983.9662639
1808,19.56566521,950.743414
1809,20.10560542,1007.32349
1810,19.88359781,978.4316832
1811,19.81846094,1035.33623
1812,19.53740865,1045.63314
1813,20.37027919,979.7953206
1814,20.20168951,989.7891334
1815,20.21296268,999.6951017
1816,20.37331098,971.8233206
1817,20.16967857,962.1717244
1818,19.83246537,1022.036514
1819,19.775192,1015.213251
1820,20.17187798,1027.861102
1821,20.48539979,992.1914853
1822,20.31137617,985.2821165
1823,19.93684844,1033.726661
1824,19.84725467,1006.476927
1825,20.46261948,1007.382978
1826,20.09573599,982.7458553
1827,20.25581194,1028.463917
1828,20.32487048,1009.286882
1829,20.12483236,1037.677083
1830,20.13210859,987.3643983
1831,20.12401049,978.6707508
1832,20.06132856,977.0409544
1833,19.87902235,1018.896809
1834,19.89767363,978.6981733
1835,20.0240117,1003.033757
1836,19.82334551,1012.371615
1837,20.44760787,1013.108872
1838,20.6851157,1014.428354
1839,20.212264,997.4193345
1840,20.15219961,1033.559443
1841,20.06013925,1027.365984
1842,19.97984569,966.7358529
1843,20.19931047,1042.318103
1844,20.30434719,1027.78791
1845,20.42898121,954.4167367
1846,20.74781348,1021.000384
1847,20.15287554,1022.789891
1848,20.14230774,983.7004733
1849,20.6887578,976.8844537
1850,20.69265985,967.4402591
1851,20.84880035,980.1494839
1852,20.60843045,1025.895988
1853,20.71603831,969.2298919
1854,20.90725745,1013.199409
1855,20.74121109,1028.018524
1856,20.75917406,992.2151042
1857,20.68928987,979.7337059
1858,20.86074202,1007.89191
1859,20.45158754,1017.374208
1860,20.26841901,970.9661448
1861,20.68838965,1019.476522
1862,20.48568052,979.2518382
1863,20.22819632,1038.610186
1864,20.90354566,1016.402752
1865,20.32261409,1012.975401
1866,20.82710042,971.2625295
1867,20.85859799,988.1552744
1868,20.47821663,1040.607118
1869,20.54999118,1016.288047
1870,20.57697511,998.5831672
1871,20.70654383,1007.134067
1872,21.02815036,1014.688889
1873,21.02518879,957.8460661
1874,20.7427142,956.3589088
1875,20.85974721,978.9307329
1876,21.01226488,984.8125474
1877,20.72071404,972.8756551
1878,20.93851151,1026.630565
1879,20.67921566,973.0035699
1880,20.85100715,984.2095353
1881,21.19050198,1010.666919
1882,21.41985824,957.3642025
1883,20.67322449,1002.753188
1884,21.12668612,1027.111766
1885,21.30876098,1033.269463
1886,21.39339592,951.6588562
1887,21.3208803,1022.211577
1888,20.82679207,990.9160955
1889,21.12822187,996.1176319
1890,20.62676153,1019.59177
1891,21.12763698,1026.339693
1892,20.80069015,960.7404494
1893,21.55066562,971.3017204
1894,21.62589522,1001.268033
1895,21.36082269,984.9190262
1896,21.50946544,1025.038581
1897,21.29209639,1045.086688
1898,20.78940718,964.0690861
1899,21.37157411,1024.267706
1900,21.41637813,966.8967069
1901,21.25188996,996.2071748
1902,21.37405384,982.0181787
1903,21.29387468,1007.862514
1904,21.35017238,974.1154583
1905,21.13853106,1047.031914
1906,21.62606011,966.2516881
1907,21.45179802,1021.357446
1908,21.63007072,980.0100063
1909,21.14366526,1006.043191
1910,21.02509778,1008.742988
1911,21.6195059,968.8016587
1912,20.95076955,1019.800608
1913,21.43280497,1005.87301
1914,21.43894325,974.3203772
1915,21.29059482,1020.48465
1916,21.83741762,1048.602734
1917,21.75771525,981.317548
1918,21.58393429,1004.638041
1919,21.27563703,1015.244296
1920,21.07678019,969.7051278
1921,22.0512092,969.4815202
